# Split: 0.5 | Large dataset | P=64
Thread,Elapsed time
"T1",3.206
"T2",2.792
"T3",2.781
"T4",2.782
"T5",2.741
"T6",3.222
"T7",2.726
"T8",3.217
"T9",2.786
"T10",2.719
"T11",2.782
"T12",2.722
"T13",3.205
"T14",2.726
"T15",2.778
"T16",2.722
"T17",3.231
"T18",2.735
"T19",2.784
"T20",2.728
"T21",2.78
"T22",2.724
"T23",2.783
"T24",2.723
"T25",2.793
"T26",3.218
"T27",2.779
"T28",2.719
"T29",3.214
"T30",3.211
"T31",2.782
"T32",2.725
"T33",3.224
"T34",2.734
"T35",2.778
"T36",2.724
"T37",2.777
"T38",2.72
"T39",2.781
"T40",2.721
"T41",2.796
"T42",3.22
"T43",2.777
"T44",2.723
"T45",3.213
"T46",2.724
"T47",2.784
"T48",2.723
"T49",3.229
"T50",2.736
"T51",2.78
"T52",3.237
"T53",2.782
"T54",3.213
"T55",3.209
"T56",2.724
"T57",2.791
"T58",2.737
"T59",2.783
"T60",2.726
"T61",3.206
"T62",2.721
"T63",2.78
"T64",2.719
